bike_name,price,kms_driven,age,power,brand
TVS Star City,35000,17654,3.0,110,TVS
Royal Enfield Classic,119900,11000,4.0,350,Royal Enfield
Triumph Daytona 675R,600000,110,8.0,675,Triumph
TVS Apache RTR,65000,16329,4.0,180,TVS
Yamaha FZ S,80000,10000,3.0,150,Yamaha
Yamaha FZs 150cc,53499,25000,6.0,150,Yamaha
Honda CB Hornet,85000,8200,3.0,160,Honda
Hero Splendor Plus,45000,12645,3.0,100,Hero
Royal Enfield Thunderbird,145000,9190,3.0,350,Royal Enfield
Royal Enfield Classic,88000,19000,7.0,500,Royal Enfield
Yamaha YZF-R15 2.0,72000,20000,7.0,150,Yamaha
Yamaha FZ25 250cc,95000,9665,4.0,250,Yamaha
Bajaj Pulsar NS200,78000,9900,4.0,200,Bajaj
Bajaj Discover 100M,29499,20000,8.0,100,Bajaj
Bajaj Discover 125M,29900,20000,7.0,125,Bajaj
Bajaj Pulsar NS200,90000,11574,3.0,200,Bajaj
Bajaj Pulsar RS200,120000,23000,3.0,200,Bajaj
Suzuki Gixxer SF,48000,24725,5.0,150,Suzuki
Benelli 302R 300CC,240000,15025,3.0,302,Benelli
Bajaj Discover 125M,29900,20000,7.0,125,Bajaj
Bajaj Pulsar RS200,120000,23000,3.0,200,Bajaj
Suzuki Gixxer SF,48000,24725,5.0,150,Suzuki
Hero Splendor iSmart,46500,3500,2.0,110,Hero
Royal Enfield Classic,121700,24520,5.0,500,Royal Enfield
Yamaha FZ V,45000,23000,6.0,150,Yamaha
Bajaj Pulsar NS200,78000,9900,4.0,200,Bajaj
Hero Super Splendor,20000,29305,16.0,125,Hero
Honda CBF Stunner,20800,30500,7.0,125,Honda
Bajaj Pulsar 150cc,50000,19000,8.0,150,Bajaj
Honda X-Blade 160CC,81200,9100,2.0,160,Honda
Bajaj Pulsar NS200,88000,21914,3.0,200,Bajaj
Yamaha YZF-R15 2.0,80000,20000,4.0,150,Yamaha
Bajaj Avenger 220cc,40900,15000,6.0,220,Bajaj
KTM RC 390cc,180000,17700,4.0,390,KTM
Honda CB Unicorn,40000,30000,8.0,150,Honda
KTM Duke 200cc,70000,100000,8.0,200,KTM
Royal Enfield Classic,98800,39000,5.0,350,Royal Enfield
Honda CBR 150R,65000,43000,6.0,150,Honda
Royal Enfield Thunderbird,190500,4550,2.0,500,Royal Enfield
KTM RC 200cc,179000,3400,2.0,200,KTM
Royal Enfield Thunderbird,70000,45000,8.0,350,Royal Enfield
Bajaj Avenger 220cc,45000,36100,6.0,220,Bajaj
Royal Enfield Bullet,78000,8500,13.0,350,Royal Enfield
Bajaj Avenger Street,110000,2550,2.0,220,Bajaj
Royal Enfield Classic,85000,18000,6.0,350,Royal Enfield
Bajaj Pulsar NS200,38000,35000,9.0,200,Bajaj
Royal Enfield Thunderbird,55346,38000,10.0,350,Royal Enfield
Mahindra Centuro NXT,28000,45000,2.0,110,Mahindra
Hero Hunk 150cc,37000,10800,8.0,150,Hero
Suzuki Gixxer SF,97000,4400,3.0,150,Suzuki
Yamaha FZ 150cc,40000,357000,8.0,150,Yamaha
Royal Enfield‎ Bullet,90000,15300,7.0,350,Royal Enfield
TVS Apache RTR,60000,30000,5.0,160,TVS
Honda CB Shine,21900,30000,7.0,125,Honda
Bajaj Avenger 220cc,40000,64000,7.0,220,Bajaj
Benelli TNT 600i,475000,11500,3.0,600,Benelli
Honda Dream Yuga,34500,17056,5.0,110,Honda
Yamaha SZ 150cc,25000,172082,9.0,150,Yamaha
Suzuki Gixxer 150cc,30200,45000,7.0,150,Suzuki
Bajaj Avenger Cruise,65000,35000,5.0,220,Bajaj
Bajaj Pulsar 150cc,25000,38000,9.0,150,Bajaj
Kawasaki Z900,935000,2500,2.0,900,Kawasaki
Royal Enfield Bullet,107100,15438,3.0,350,Royal Enfield
Bajaj Pulsar 220cc,80000,6000,3.0,220,Bajaj
Royal Enfield Thunderbird,88000,19000,5.0,350,Royal Enfield
KTM Duke 200cc,94700,32700,4.0,200,KTM
Hero CD Deluxe,12200,46643,14.0,100,Hero
Royal Enfield Classic,106000,19000,6.0,350,Royal Enfield
Bajaj Pulsar 220cc,29500,40700,12.0,220,Bajaj
Kawasaki Ninja 650cc,290000,11350,7.0,650,Kawasaki
Royal Enfield Thunderbird,110000,1600,6.0,350,Royal Enfield
Bajaj Platina 125cc,27000,44410,10.0,125,Bajaj
Royal Enfield Thunderbird,65000,9800,11.0,350,Royal Enfield
Royal Enfield Thunderbird,150000,15000,3.0,350,Royal Enfield
Hero Karizma ZMR,55786,68000,7.0,223,Hero
Bajaj Pulsar 180cc,45000,17757,8.0,180,Bajaj
Yamaha FZ25 ABS,146000,3900,2.0,250,Yamaha
Royal Enfield Thunderbird,115000,23700,4.0,350,Royal Enfield
Bajaj CT 100,30000,8250,3.0,100,Bajaj
Bajaj Pulsar RS200,93100,10000,5.0,200,Bajaj
Yamaha YZF-R15 2.0,82000,4300,3.0,150,Yamaha
Royal Enfield Interceptor,260000,3800,2.0,650,Royal Enfield
Honda CB Shine,38000,33000,7.0,125,Honda
KTM Duke 250cc,130000,17500,4.0,250,KTM
Royal Enfield Himalayan,118000,19000,4.0,410,Royal Enfield
Bajaj Pulsar 135LS,14700,10000,11.0,135,Bajaj
Royal Enfield Thunderbird,85000,54000,6.0,350,Royal Enfield
Bajaj Pulsar 220F,40000,27000,7.0,220,Bajaj
Yamaha FZ16 150cc,50000,19000,6.0,150,Yamaha
Royal Enfield Thunderbird,71800,43500,7.0,350,Royal Enfield
Royal Enfield Thunderbird,71800,43500,7.0,350,Royal Enfield
Bajaj Pulsar NS200,75000,11575,4.0,200,Bajaj
Ducati Scrambler 1100,1350000,190,1.0,1100,Ducati
Triumph Street Triple,790000,19000,3.0,765,Triumph
Bajaj V15 150cc,47000,8600,4.0,150,Bajaj
Bajaj Pulsar 150cc,60000,2000,2.0,150,Bajaj
Suzuki Gixxer Fi,96700,5100,1.0,150,Suzuki
Hero Splendor plus,31900,9000,5.0,100,Hero
Bajaj Pulsar 150cc,35000,44480,13.0,150,Bajaj
KTM Duke 390cc,240000,11000,3.0,390,KTM
Honda CBR 250R,68000,16000,7.0,250,Honda
Bajaj Pulsar RS200,80000,26691,5.0,200,Bajaj
Royal Enfield Classic,135000,45000,5.0,350,Royal Enfield
Bajaj Pulsar 150cc,11100,12000,12.0,150,Bajaj
Benelli TNT 600i,480000,14200,4.0,600,Benelli
Suzuki Gixxer 150cc,65000,41000,3.0,150,Suzuki
Yamaha FZ S,60000,15000,5.0,150,Yamaha
Honda CBR 150R,80000,12314,4.0,150,Honda
Hero Splendor Plus,46000,11760,3.0,100,Hero
Royal Enfield Classic,95000,22000,11.0,500,Royal Enfield
Hyosung GT650R,400000,1800,4.0,650,Hyosung
Bajaj V15 150cc,55000,4400,4.0,150,Bajaj
Yamaha YZF-R15 S,63000,16000,5.0,150,Yamaha
Bajaj V15 150cc,51000,9000,4.0,150,Bajaj
TVS Apache RTR,69900,8700,3.0,160,TVS
Bajaj Pulsar RS200,125000,1342,4.0,200,Bajaj
Benelli TNT 300,210000,21000,6.0,300,Benelli
Honda CB ShineSP,35900,19000,5.0,125,Honda
Honda CBR 250R,67000,13000,9.0,250,Honda
Hero Passion Pro,29339,12771,4.0,100,Hero
Hero Splendor Plus,19695,51576,6.0,100,Hero
Hero Splendor iSmart,48672,608,2.0,110,Hero
Honda CBR 150R,40000,13680,9.0,150,Honda
Yamaha YZF R6,500000,285,5.0,600,Yamaha
Ducati 1299 Superleggera,800000,3,3.0,1299,Ducati
Royal Enfield Himalayan,110000,24676,5.0,410,Royal Enfield
Royal Enfield Classic,92500,11000,6.0,350,Royal Enfield
Bajaj Pulsar NS200,57000,28948,5.0,200,Bajaj
Royal Enfield Electra,72500,10000,10.0,350,Royal Enfield
KTM Duke 200cc,68000,16000,9.0,200,KTM
TVS Phoenix Disc,21500,10500,5.0,125,TVS
TVS Apache RTR,40000,20000,6.0,160,TVS
Royal Enfield Classic,91000,18000,5.0,350,Royal Enfield
Harley-Davidson Street 750,300000,3500,6.0,750,Harley-Davidson
Suzuki Gixxer SF,47000,70000,6.0,150,Suzuki
Suzuki Gixxer 150cc,53000,18158,6.0,150,Suzuki
Suzuki Gixxer 150cc,51000,39140,5.0,150,Suzuki
Bajaj Pulsar 220F,48000,27776,8.0,220,Bajaj
Bajaj Pulsar 220cc,55000,32734,6.0,220,Bajaj
Royal Enfield Himalayan,173300,14000,2.0,410,Royal Enfield
Royal Enfield Bullet,77000,13000,8.0,350,Royal Enfield
Bajaj Pulsar NS200,115000,5000,2.0,200,Bajaj
Bajaj Discover 150cc,36000,39500,7.0,150,Bajaj
Bajaj Avenger Street,72000,29500,4.0,220,Bajaj
Royal Enfield Standard,115000,14900,3.0,350,Royal Enfield
Honda CB Shine,65000,2000,3.0,125,Honda
Honda CB Unicorn,99000,4000,2.0,150,Honda
Yamaha YZF-R15 2.0,68500,68500,7.0,150,Yamaha
Yamaha YZF-R15 V3,140000,2473,2.0,150,Yamaha
KTM Duke 200cc,130000,9221,3.0,200,KTM
Bajaj Pulsar NS,46000,37128,7.0,200,Bajaj
Hero Super Splendor,30000,16166,6.0,125,Hero
Bajaj Dominar 400,116000,11716,3.0,400,Bajaj
Royal Enfield Classic,130000,8419,3.0,350,Royal Enfield
